num,year,sikibetu1,sikibetu2,
364,1948,364s,364n,
411,1948,411s,411n,
460,1948,460w,460e,
533,1948,533s,533n,
547,1948,547e,547w,
729,1948,729s,729sw,
826,1948,826s,826n,
11,1949,11n,11s,
32,1949,32w,32e,
34,1949,34se,34ne,
91,1949,91se,91ne,
117,1949,117sw,117ne,
135,1949,135nw,135se,
144,1949,144se,144nw,
177,1949,177nw,177se,
179,1949,179s,179n,
224,1949,224s,224s,
285,1949,285s,285n,
302,1949,302s,302n,
364,1949,364s,364n,
411,1949,411s,411n,
460,1949,460w,460e,
533,1949,533s,533n,
547,1949,547e,547w,
729,1949,729s,729sw,
826,1949,826s,826n,
11,1950,11n,11s,
32,1950,32w,32e,
34,1950,34se,34ne,
91,1950,91se,91ne,
117,1950,117sw,117ne,
135,1950,135nw,135se,
144,1950,144se,144nw,
177,1950,177nw,177se,
179,1950,179s,179n,
224,1950,224s,224s,
285,1950,285s,285n,
302,1950,302s,302n,
364,1950,364s,364n,
411,1950,411s,411n,
460,1950,460w,460e,
533,1950,533s,533n,
547,1950,547e,547w,
729,1950,729s,729sw,
826,1950,826s,826n,
11,1951,11n,11s,
32,1951,32w,32e,
34,1951,34se,34ne,
91,1951,91se,91ne,
117,1951,117sw,117ne,
135,1951,135nw,135se,
144,1951,144se,144nw,
177,1951,177nw,177se,
179,1951,179s,179n,
224,1951,224s,224s,
285,1951,285s,285n,
302,1951,302s,302n,
364,1951,364s,364n,
411,1951,411s,411n,
460,1951,460w,460e,
533,1951,533s,533n,
547,1951,547e,547w,
729,1951,729s,729sw,
826,1951,826s,826n,
11,1952,11n,11s,
32,1952,32w,32e,
34,1952,34se,34ne,
91,1952,91se,91ne,
117,1952,117sw,117ne,31.82
135,1952,135nw,135se,
144,1952,144se,144nw,
176,1952,176se,176ne,
177,1952,177nw,177se,
179,1952,179s,179n,
187,1952,187n,187s,
224,1952,224s,224s,
285,1952,285s,285n,
302,1952,302s,302n,
364,1952,364s,364n,
411,1952,411s,411n,
460,1952,460w,460e,
533,1952,533s,533n,
547,1952,547e,547w,
729,1952,729s,729sw,
826,1952,826s,826n,
11,1953,11n,11s,
32,1953,32w,32e,
34,1953,34se,34ne,
91,1953,91se,91ne,
133,1953,133ne,133sw,
135,1953,135nw,135se,
144,1953,144se,144nw,
