year,origin,destination,gender,migration
2018,秋田県,秋田県,女,0
2018,山形県,秋田県,総数,468
2018,山形県,秋田県,男,274
2018,山形県,秋田県,女,194
2018,福島県,秋田県,総数,411
2018,福島県,秋田県,男,284
2018,福島県,秋田県,女,127
2018,茨城県,秋田県,総数,148
2018,茨城県,秋田県,男,93
2018,茨城県,秋田県,女,55
2018,栃木県,秋田県,総数,133
2018,栃木県,秋田県,男,82
2018,栃木県,秋田県,女,51
2018,群馬県,秋田県,総数,141
2018,群馬県,秋田県,男,93
2018,群馬県,秋田県,女,48
2018,埼玉県,秋田県,総数,635
2018,埼玉県,秋田県,男,399
2018,埼玉県,秋田県,女,236
2018,千葉県,秋田県,総数,585
2018,千葉県,秋田県,男,351
2018,千葉県,秋田県,女,234
2018,東京都,秋田県,総数,1802
2018,東京都,秋田県,男,976
2018,東京都,秋田県,女,826
2018,神奈川県,秋田県,総数,837
2018,神奈川県,秋田県,男,465
2018,神奈川県,秋田県,女,372
2018,新潟県,秋田県,総数,215
2018,新潟県,秋田県,男,142
2018,新潟県,秋田県,女,73
2018,富山県,秋田県,総数,33
2018,富山県,秋田県,男,23
2018,富山県,秋田県,女,10
2018,石川県,秋田県,総数,52
2018,石川県,秋田県,男,30
2018,石川県,秋田県,女,22
2018,福井県,秋田県,総数,13
2018,福井県,秋田県,男,9
2018,福井県,秋田県,女,4
2018,山梨県,秋田県,総数,31
2018,山梨県,秋田県,男,20
2018,山梨県,秋田県,女,11
2018,長野県,秋田県,総数,102
2018,長野県,秋田県,男,65
2018,長野県,秋田県,女,37
2018,岐阜県,秋田県,総数,44
2018,岐阜県,秋田県,男,26
2018,岐阜県,秋田県,女,18
2018,静岡県,秋田県,総数,136
2018,静岡県,秋田県,男,88
2018,静岡県,秋田県,女,48
2018,愛知県,秋田県,総数,191
2018,愛知県,秋田県,男,123
2018,愛知県,秋田県,女,68
2018,三重県,秋田県,総数,45
2018,三重県,秋田県,男,30
2018,三重県,秋田県,女,15
2018,滋賀県,秋田県,総数,26
2018,滋賀県,秋田県,男,17
2018,滋賀県,秋田県,女,9
2018,京都府,秋田県,総数,63
2018,京都府,秋田県,男,42
2018,京都府,秋田県,女,21
2018,大阪府,秋田県,総数,153
2018,大阪府,秋田県,男,82
2018,大阪府,秋田県,女,71
2018,兵庫県,秋田県,総数,96
2018,兵庫県,秋田県,男,60
2018,兵庫県,秋田県,女,36
2018,奈良県,秋田県,総数,22
2018,奈良県,秋田県,男,13
2018,奈良県,秋田県,女,9
2018,和歌山県,秋田県,総数,12
2018,和歌山県,秋田県,男,10
2018,和歌山県,秋田県,女,2
2018,鳥取県,秋田県,総数,12
2018,鳥取県,秋田県,男,8
2018,鳥取県,秋田県,女,4
2018,島根県,秋田県,総数,11
2018,島根県,秋田県,男,6
2018,島根県,秋田県,女,5
2018,岡山県,秋田県,総数,42
2018,岡山県,秋田県,男,24
2018,岡山県,秋田県,女,18
2018,広島県,秋田県,総数,52
2018,広島県,秋田県,男,25
2018,広島県,秋田県,女,27
2018,山口県,秋田県,総数,16
2018,山口県,秋田県,男,8
2018,山口県,秋田県,女,8
2018,徳島県,秋田県,総数,8
2018,徳島県,秋田県,男,6
2018,徳島県,秋田県,女,2
2018,香川県,秋田県,総数,6
2018,香川県,秋田県,男,5
2018,香川県,秋田県,女,1
2018,愛媛県,秋田県,総数,27
2018,愛媛県,秋田県,男,21
2018,愛媛県,秋田県,女,6
2018,高知県,秋田県,総数,14
2018,高知県,秋田県,男,8
2018,高知県,秋田県,女,6
2018,福岡県,秋田県,総数,69
2018,福岡県,秋田県,男,36
2018,福岡県,秋田県,女,33
2018,佐賀県,秋田県,総数,14
2018,佐賀県,秋田県,男,9
2018,佐賀県,秋田県,女,5
2018,長崎県,秋田県,総数,16
2018,長崎県,秋田県,男,9
2018,長崎県,秋田県,女,7
2018,熊本県,秋田県,総数,27
2018,熊本県,秋田県,男,16
2018,熊本県,秋田県,女,11
2018,大分県,秋田県,総数,21
2018,大分県,秋田県,男,10
2018,大分県,秋田県,女,11
2018,宮崎県,秋田県,総数,18
2018,宮崎県,秋田県,男,9
2018,宮崎県,秋田県,女,9
2018,鹿児島県,秋田県,総数,16
2018,鹿児島県,秋田県,男,11
2018,鹿児島県,秋田県,女,5
2018,沖縄県,秋田県,総数,37
2018,沖縄県,秋田県,男,22
2018,沖縄県,秋田県,女,15
2018,北海道,山形県,総数,421
2018,北海道,山形県,男,263
2018,北海道,山形県,女,158
2018,青森県,山形県,総数,384
2018,青森県,山形県,男,229
2018,青森県,山形県,女,155
2018,岩手県,山形県,総数,534
2018,岩手県,山形県,男,296
2018,岩手県,山形県,女,238
2018,宮城県,山形県,総数,2715
2018,宮城県,山形県,男,1511
2018,宮城県,山形県,女,1204
2018,秋田県,山形県,総数,520
2018,秋田県,山形県,男,313
2018,秋田県,山形県,女,207
2018,山形県,山形県,総数,0
2018,山形県,山形県,男,0
2018,山形県,山形県,女,0
2018,福島県,山形県,総数,981
2018,福島県,山形県,男,590
2018,福島県,山形県,女,391
2018,茨城県,山形県,総数,242
2018,茨城県,山形県,男,139
2018,茨城県,山形県,女,103
2018,栃木県,山形県,総数,256
2018,栃木県,山形県,男,161
2018,栃木県,山形県,女,95
2018,群馬県,山形県,総数,144
2018,群馬県,山形県,男,86
2018,群馬県,山形県,女,58
2018,埼玉県,山形県,総数,815
2018,埼玉県,山形県,男,443
2018,埼玉県,山形県,女,372
2018,千葉県,山形県,総数,580
2018,千葉県,山形県,男,329
2018,千葉県,山形県,女,251
2018,東京都,山形県,総数,1826
2018,東京都,山形県,男,967
2018,東京都,山形県,女,859
2018,神奈川県,山形県,総数,922
2018,神奈川県,山形県,男,519
2018,神奈川県,山形県,女,403
2018,新潟県,山形県,総数,491
2018,新潟県,山形県,男,275
2018,新潟県,山形県,女,216
2018,富山県,山形県,総数,65
2018,富山県,山形県,男,33
2018,富山県,山形県,女,32
2018,石川県,山形県,総数,54
2018,石川県,山形県,男,34
2018,石川県,山形県,女,20
2018,福井県,山形県,総数,22
2018,福井県,山形県,男,13
2018,福井県,山形県,女,9
2018,山梨県,山形県,総数,58
2018,山梨県,山形県,男,34
2018,山梨県,山形県,女,24
2018,長野県,山形県,総数,139
2018,長野県,山形県,男,75
2018,長野県,山形県,女,64
2018,岐阜県,山形県,総数,56
2018,岐阜県,山形県,男,35
2018,岐阜県,山形県,女,21
2018,静岡県,山形県,総数,172
2018,静岡県,山形県,男,102
2018,静岡県,山形県,女,70
2018,愛知県,山形県,総数,226
2018,愛知県,山形県,男,146
2018,愛知県,山形県,女,80
2018,三重県,山形県,総数,55
2018,三重県,山形県,男,34
2018,三重県,山形県,女,21
2018,滋賀県,山形県,総数,19
2018,滋賀県,山形県,男,14
2018,滋賀県,山形県,女,5
2018,京都府,山形県,総数,67
2018,京都府,山形県,男,35
2018,京都府,山形県,女,32
